City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
113,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
120,Jiaojiang,CN,78.01,overcast clouds,28.6803,121.4428,Fangyuan Hotel
123,Mandera,KE,81.46,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
126,Phangnga,TH,80.64,moderate rain,8.4509,98.5298,Sunimit Mansion
131,Sao Filipe,CV,80.62,light rain,14.8961,-24.4956,Hotel Xaguate
143,Nizwa,OM,80.02,clear sky,22.9333,57.5333,Orient Apartments
151,Pancas,BR,82.22,clear sky,-19.225,-40.8514,Hotel Acácia
156,Felanitx,ES,83.01,overcast clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
157,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
161,Kaseda,JP,79.5,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
162,Padang,ID,75.67,light rain,-0.9492,100.3543,Mercure Padang
164,Besuki,ID,78.24,clear sky,-7.7338,113.6979,Pak Pri House
166,Tautira,PF,76.89,light rain,-17.7333,-149.15,Pension Oaoa
169,Zurrieq,MT,81.97,clear sky,35.8311,14.4742,Ta'Bertu Guest House
170,Manokwari,ID,77.61,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
174,Buala,SB,78.89,light rain,-8.145,159.5921,Maringe Lagoon Lodge
175,Atuona,PF,77.16,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
178,Fukue,JP,80.91,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
179,Bandarbeyla,SO,76.73,clear sky,9.4942,50.8122,JABIR HOTEL
181,Canarana,BR,80.28,few clouds,-11.6847,-41.7689,POSTO E POUSADA CANARANA
183,Pyapon,MM,79.63,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
189,Kavaratti,IN,80.78,broken clouds,10.5669,72.642,Green leaf
192,Labuhan,ID,77.54,overcast clouds,-6.8844,112.2051,DoubleFAG
194,Muroto,JP,79.83,broken clouds,33.2833,134.15,Oota Ryokan
216,Ha Giang,VN,76.96,light rain,22.8333,104.9833,Truong Xuan Resort
233,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
234,Naze,JP,81.52,moderate rain,28.3667,129.4833,Shishime Hotel
238,Molina De Segura,ES,80.71,few clouds,38.0546,-1.2076,Hotel VillaSegura
242,Eydhafushi,MV,79.84,overcast clouds,5.1033,73.0708,Soneva Fushi
248,Fairview,US,83.77,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
255,Qiongshan,CN,76.98,scattered clouds,20.0058,110.3542,Sun City Restaurant
257,General Roca,AR,75.81,clear sky,-39.0333,-67.5833,Hotel El Recreo
263,Koshekhabl,RU,78.12,clear sky,44.8972,40.5119,Apartments Europa
267,Nabire,ID,76.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
269,Tual,ID,80.85,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
270,Mahina,PF,82.17,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
271,Wanning,CN,78.17,scattered clouds,18.8003,110.3967,Paradise Hotel
274,Touros,BR,78.39,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
275,Gerash,IR,84.34,scattered clouds,27.6652,54.1371,Sa'adat House Gerash
281,Grand Island,US,82.35,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
283,Burla,IN,78.21,overcast clouds,21.5,83.8667,Mona achariya
289,East Moline,US,78.37,overcast clouds,41.5009,-90.4443,Residence Inn by Marriott Moline Quad Cities
290,Trairi,BR,80.22,clear sky,-3.2778,-39.2689,janelas do mar
293,Nyaunglebin,MM,76.89,broken clouds,17.95,96.7333,Thi ha
304,Luganville,VU,77.29,broken clouds,-15.5333,167.1667,The Espiritu Hotel
305,Basco,PH,83.66,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
314,Dingle,PH,76.57,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
315,Lorengau,PG,81.59,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
318,Akyab,MM,82.11,scattered clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
327,Grand-Santi,GF,83.93,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
330,Espera Feliz,BR,76.86,clear sky,-20.6503,-41.9072,Pousada Encanto Das Montanhas
331,Saint Anthony,US,78.15,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
332,Omboue,GA,75.07,broken clouds,-1.5746,9.2618,Hotel Olako
336,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
339,Bagli,IN,75.33,overcast clouds,22.65,76.35,Yash carpenter
340,Quang Ngai,VN,77.31,overcast clouds,15.1167,108.8,Central Hotel
341,Darnah,LY,78.8,clear sky,32.767,22.6367,فندق الفردوس
350,Faanui,PF,78.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
351,Bethel,US,83.55,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
353,Ajdabiya,LY,81.66,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
356,Takoradi,GH,75.4,overcast clouds,4.8845,-1.7554,Raybow International Hotel
359,Tateyama,JP,76.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
364,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
366,Jardim,BR,75.04,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
