City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Omaruru,NA,2022-09-03 20:18:31,-21.4333,15.9333,64.58,43,3,5.41,clear sky
106,Katsuura,JP,2022-09-03 20:18:31,35.1333,140.3,76.6,89,100,6.17,overcast clouds
107,Plouzane,FR,2022-09-03 20:18:31,48.3833,-4.6167,66.38,82,100,18.41,overcast clouds
108,Ganzhou,CN,2022-09-03 20:18:32,28.8184,115.4327,73.83,49,100,4.14,overcast clouds
109,Faya,SA,2022-09-03 20:18:32,18.3851,42.4509,71.71,41,100,5.03,overcast clouds
110,Bourail,NC,2022-09-03 20:18:32,-21.5667,165.4833,69.04,84,8,7.34,clear sky
111,Ligayan,PH,2022-09-03 20:18:33,4.6533,119.4706,83.34,73,87,3.83,overcast clouds
112,Avarua,CK,2022-09-03 20:18:33,-21.2078,-159.775,77.05,88,75,13.8,broken clouds
113,Kailua,US,2022-09-03 20:18:34,21.4022,-157.7394,82.38,81,35,1.01,scattered clouds
114,Mahebourg,MU,2022-09-03 20:18:34,-20.4081,57.7,69.26,88,40,4.61,scattered clouds
115,San Quintin,MX,2022-09-03 20:18:34,30.4833,-115.95,93.27,38,100,16.78,overcast clouds
116,Busselton,AU,2022-09-03 20:18:35,-33.65,115.3333,53.71,85,68,10.02,broken clouds
117,Bluff,NZ,2022-09-03 20:18:35,-46.6,168.3333,41.81,78,93,39.17,light rain
118,Rehoboth,NA,2022-09-03 20:18:35,-23.3167,17.0833,65.97,29,0,10.94,clear sky
119,Pudozh,RU,2022-09-03 20:18:36,61.8099,36.5345,45.93,95,100,8.01,overcast clouds
120,Jiaojiang,CN,2022-09-03 20:18:36,28.6803,121.4428,78.01,96,100,11.27,overcast clouds
121,Tura,IN,2022-09-03 20:18:36,25.5198,90.2201,74.53,97,100,4.29,moderate rain
122,Vila,PT,2022-09-03 20:18:37,42.0304,-8.1588,56.28,87,14,4.88,few clouds
123,Mandera,KE,2022-09-03 20:18:37,3.9366,41.867,81.46,47,100,23.91,overcast clouds
124,Kaeo,NZ,2022-09-03 20:18:37,-35.1,173.7833,58.32,95,100,7.09,overcast clouds
125,Champerico,GT,2022-09-03 20:18:38,14.3,-91.9167,86.54,75,100,14.38,overcast clouds
126,Phangnga,TH,2022-09-03 20:18:38,8.4509,98.5298,80.64,95,96,3.49,moderate rain
127,Puerto Ayora,EC,2022-09-03 20:18:39,-0.7393,-90.3518,73.36,90,100,8.01,overcast clouds
128,Price,US,2022-09-03 20:18:23,39.5994,-110.8107,94.12,9,0,4.61,clear sky
129,Ostrovnoy,RU,2022-09-03 20:18:39,68.0531,39.5131,45.61,81,100,27.18,light rain
130,Almaznyy,RU,2022-09-03 20:18:40,48.0448,40.045,62.24,31,95,14.36,overcast clouds
131,Sao Filipe,CV,2022-09-03 20:18:40,14.8961,-24.4956,80.62,77,79,1.66,light rain
132,Kuryk,KZ,2022-09-03 20:18:40,43.2,51.65,85.55,20,0,11.52,clear sky
133,Esperance,AU,2022-09-03 20:18:41,-33.8667,121.9,53.13,80,100,17.09,moderate rain
134,Bilibino,RU,2022-09-03 20:18:41,68.0546,166.4372,29.26,80,13,3.67,few clouds
135,Safford,US,2022-09-03 20:19:42,32.834,-109.7076,95.92,23,0,23.02,clear sky
136,East London,ZA,2022-09-03 20:19:42,-33.0153,27.9116,63.32,76,2,11.63,clear sky
137,Praia Da Vitoria,PT,2022-09-03 20:19:43,38.7333,-27.0667,74.75,78,40,7.58,scattered clouds
138,Ancud,CL,2022-09-03 20:19:43,-41.8697,-73.8203,55.22,79,31,6.76,scattered clouds
139,Tuktoyaktuk,CA,2022-09-03 20:19:43,69.4541,-133.0374,57.2,77,100,6.91,overcast clouds
140,Chokurdakh,RU,2022-09-03 20:19:44,70.6333,147.9167,35.76,89,100,8.99,overcast clouds
141,Gorno-Altaysk,RU,2022-09-03 20:19:44,51.9561,85.955,54.01,77,4,5.28,clear sky
142,Baykit,RU,2022-09-03 20:19:44,61.67,96.37,42.31,81,100,1.9,overcast clouds
143,Nizwa,OM,2022-09-03 20:19:45,22.9333,57.5333,80.02,59,3,3.94,clear sky
144,Vestmannaeyjar,IS,2022-09-03 20:19:45,63.4427,-20.2734,51.73,80,100,1.86,overcast clouds
145,Agadez,NE,2022-09-03 20:19:45,19.75,10.25,95.05,16,1,10.33,clear sky
146,Geraldton,AU,2022-09-03 20:19:46,-28.7667,114.6,55.81,94,100,10.36,fog
147,Khash,IR,2022-09-03 20:19:46,28.2211,61.2158,74.43,9,0,4.72,clear sky
148,Seoul,KR,2022-09-03 20:19:46,37.5683,126.9778,72.97,64,100,6.91,overcast clouds
149,Veinticinco De Mayo,AR,2022-09-03 20:19:47,-35.4323,-60.1727,69.98,23,0,1.99,clear sky
150,Bambous Virieux,MU,2022-09-03 20:19:47,-20.3428,57.7575,70.21,88,40,4.61,light rain
151,Pancas,BR,2022-09-03 20:19:48,-19.225,-40.8514,82.22,35,0,3.42,clear sky
152,Ponta Delgada,PT,2022-09-03 20:19:48,37.7333,-25.6667,72.32,73,20,8.05,few clouds
153,Matagami,CA,2022-09-03 20:19:48,49.7502,-77.6328,53.71,62,40,19.57,scattered clouds
154,Anadyr,RU,2022-09-03 20:19:49,64.75,177.4833,50.5,93,40,8.95,scattered clouds
155,Tuatapere,NZ,2022-09-03 20:19:49,-46.1333,167.6833,42.84,87,99,19.91,overcast clouds
156,Felanitx,ES,2022-09-03 20:19:49,39.4696,3.1483,83.01,61,100,11.54,overcast clouds
157,Santa Rosa,PH,2022-09-03 20:19:45,14.3122,121.1114,78.78,98,100,6.82,overcast clouds
158,Norman Wells,CA,2022-09-03 20:19:50,65.282,-126.8329,69.84,43,75,9.22,broken clouds
159,Chuy,UY,2022-09-03 20:19:50,-33.6971,-53.4616,52.39,67,0,7.09,clear sky
160,Mpika,ZM,2022-09-03 20:19:09,-11.8343,31.4529,60.37,49,17,4.52,few clouds
161,Kaseda,JP,2022-09-03 20:17:11,31.4167,130.3167,79.5,82,97,14.94,overcast clouds
162,Padang,ID,2022-09-03 20:19:51,-0.9492,100.3543,75.67,81,100,3.04,light rain
163,Sisimiut,GL,2022-09-03 20:19:52,66.9395,-53.6735,46.47,82,100,11.32,overcast clouds
164,Besuki,ID,2022-09-03 20:19:52,-7.7338,113.6979,78.24,82,7,4.03,clear sky
165,Rongcheng,CN,2022-09-03 20:19:52,30.634,117.8517,72.0,93,100,4.25,overcast clouds
166,Tautira,PF,2022-09-03 20:19:53,-17.7333,-149.15,76.89,78,53,15.39,light rain
167,Ouro Preto Do Oeste,BR,2022-09-03 20:19:53,-10.7481,-62.2158,99.39,17,65,8.37,broken clouds
168,Belmonte,BR,2022-09-03 20:19:53,-15.8631,-38.8828,74.17,71,6,9.95,clear sky
169,Zurrieq,MT,2022-09-03 20:19:54,35.8311,14.4742,81.97,77,3,8.37,clear sky
170,Manokwari,ID,2022-09-03 20:19:54,-0.8667,134.0833,77.61,72,60,4.23,broken clouds
171,Longyearbyen,SJ,2022-09-03 20:15:48,78.2186,15.6401,44.44,87,75,21.85,light rain
172,Port Macquarie,AU,2022-09-03 20:19:55,-31.4333,152.9167,60.69,67,100,17.27,overcast clouds
173,Karakol,KG,2022-09-03 20:19:55,42.4907,78.3936,56.12,32,0,3.65,clear sky
174,Buala,SB,2022-09-03 20:19:55,-8.145,159.5921,78.89,81,90,5.93,light rain
175,Atuona,PF,2022-09-03 20:19:56,-9.8,-139.0333,77.16,66,25,21.5,scattered clouds
176,Laguna,US,2022-09-03 20:15:56,38.421,-121.4238,102.63,26,0,8.05,clear sky
177,Shelburne,CA,2022-09-03 20:15:07,44.0787,-80.2041,87.76,50,54,6.02,broken clouds
178,Fukue,JP,2022-09-03 20:19:56,32.6881,128.8419,80.91,80,100,14.72,overcast clouds
179,Bandarbeyla,SO,2022-09-03 20:19:57,9.4942,50.8122,76.73,80,5,27.51,clear sky
180,Andenes,NO,2022-09-03 20:19:57,69.3143,16.1194,48.18,76,2,23.02,clear sky
181,Canarana,BR,2022-09-03 20:19:57,-11.6847,-41.7689,80.28,38,18,12.57,few clouds
182,Susuman,RU,2022-09-03 20:20:58,62.7833,148.1667,32.81,84,100,2.06,overcast clouds
183,Pyapon,MM,2022-09-03 20:20:58,16.2833,95.6833,79.63,85,100,5.19,overcast clouds
184,Cherskiy,RU,2022-09-03 20:20:58,68.75,161.3,35.17,96,100,7.11,overcast clouds
185,Sitka,US,2022-09-03 20:18:10,57.0531,-135.33,62.49,72,40,4.61,scattered clouds
186,Medicine Hat,CA,2022-09-03 20:20:01,50.0501,-110.6683,99.03,16,100,13.8,overcast clouds
187,Paamiut,GL,2022-09-03 20:20:59,61.994,-49.6678,41.2,95,100,8.05,overcast clouds
188,Leningradskiy,RU,2022-09-03 20:21:00,69.3833,178.4167,33.91,77,42,20.29,scattered clouds
189,Kavaratti,IN,2022-09-03 20:21:00,10.5669,72.642,80.78,82,80,18.21,broken clouds
