City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Carnarvon,AU,2022-09-03 18:15:12,-24.8667,113.6333,66.52,70,84,16.58
144,Batagay-Alyta,RU,2022-09-03 18:15:12,67.8006,130.4114,28.42,89,75,2.39
145,Yar-Sale,RU,2022-09-03 18:15:12,66.8333,70.8333,43.34,98,100,15.5
146,College,US,2022-09-03 18:15:13,64.8569,-147.8028,56.28,81,75,0.0
147,Oblivskaya,RU,2022-09-03 18:15:13,48.5362,42.5014,69.31,26,20,13.49
148,Butaritari,KI,2022-09-03 18:15:14,3.0707,172.7902,80.8,81,26,16.17
149,Lorengau,PG,2022-09-03 18:15:14,-2.0226,147.2712,81.37,71,8,10.02
150,Erdenet,MN,2022-09-03 18:15:16,49.0333,104.0833,35.65,91,100,4.79
151,Kabalo,CD,2022-09-03 18:15:16,-6.05,26.9167,78.75,58,88,2.46
152,Kyabe,TD,2022-09-03 18:15:17,9.4515,18.9449,72.81,92,95,2.75
153,East London,ZA,2022-09-03 18:15:17,-33.0153,27.9116,61.74,88,20,4.61
154,Anchorage,US,2022-09-03 18:11:31,61.2181,-149.9003,54.61,91,100,4.61
155,Saskylakh,RU,2022-09-03 18:15:18,71.9167,114.0833,35.87,75,100,13.58
156,Hasaki,JP,2022-09-03 18:15:18,35.7333,140.8333,73.8,88,36,6.17
157,Jizan,SA,2022-09-03 18:15:18,17.3333,42.6667,88.74,56,38,5.26
158,Buraydah,SA,2022-09-03 18:11:57,26.326,43.975,96.35,9,19,7.54
159,Xique-Xique,BR,2022-09-03 18:15:19,-10.8218,-42.7263,88.45,34,2,9.66
160,Tongliao,CN,2022-09-03 18:15:19,43.6125,122.2653,66.06,80,100,14.72
161,Sri Aman,MY,2022-09-03 18:15:20,1.2376,111.4621,73.45,100,100,0.0
162,Yumen,CN,2022-09-03 18:15:20,40.2833,97.2,65.89,25,79,14.72
163,Lompoc,US,2022-09-03 18:15:20,34.6391,-120.4579,99.7,37,0,5.75
164,Polyarnyy,RU,2022-09-03 18:15:21,69.1989,33.4478,44.29,80,100,19.15
165,Ust-Nera,RU,2022-09-03 18:15:21,64.5667,143.2,36.55,87,96,3.04
166,Hirara,JP,2022-09-03 18:15:21,24.8,125.2833,83.44,89,100,62.63
167,Torrington,US,2022-09-03 18:15:22,41.8007,-73.1212,82.69,49,89,3.0
168,Obo,CF,2022-09-03 18:15:22,5.3998,26.4869,67.59,96,17,2.8
169,Gushikawa,JP,2022-09-03 18:15:22,26.3544,127.8686,81.99,86,100,24.16
170,Conneaut,US,2022-09-03 18:15:23,41.9476,-80.5542,83.88,69,100,7.25
171,Santa Cruz De La Palma,ES,2022-09-03 18:15:23,28.6835,-17.7642,75.34,78,75,9.22
172,Severodvinsk,RU,2022-09-03 18:15:24,64.5635,39.8302,46.51,87,97,5.57
173,Ushtobe,KZ,2022-09-03 18:15:24,45.2514,77.9838,73.0,30,0,10.74
174,Iqaluit,CA,2022-09-03 18:15:24,63.7506,-68.5145,40.73,93,100,0.0
175,Gizo,SB,2022-09-03 18:15:25,-8.103,156.8419,80.8,77,65,8.75
176,Ponta Do Sol,PT,2022-09-03 18:15:25,32.6667,-17.1,76.71,75,66,2.15
177,Antalaha,MG,2022-09-03 18:15:25,-14.9003,50.2788,65.12,77,28,8.5
178,Sete,FR,2022-09-03 18:15:26,43.4018,3.6966,75.94,75,90,5.37
179,Chuy,UY,2022-09-03 18:15:26,-33.6971,-53.4616,55.99,55,1,8.72
180,Mutoko,ZW,2022-09-03 18:15:27,-17.397,32.2268,59.13,38,19,4.41
181,Bereda,ES,2022-09-03 18:15:27,43.2686,-7.5406,69.42,54,29,7.31
182,Ayan,RU,2022-09-03 18:15:27,56.45,138.1667,51.64,70,45,4.74
183,Palmer,US,2022-09-03 18:15:28,42.1584,-72.3287,81.9,48,75,6.91
184,Georgetown,MY,2022-09-03 18:10:43,5.4112,100.3354,80.89,89,20,0.0
185,Westport,US,2022-09-03 18:15:28,41.1415,-73.3579,84.88,57,0,6.91
186,Parainen,FI,2022-09-03 18:16:28,60.3067,22.301,52.14,65,79,10.49
187,Marrakesh,MA,2022-09-03 18:16:29,31.6315,-8.0083,89.67,35,40,9.22
188,Ippy,CF,2022-09-03 18:16:29,6.2679,21.2247,68.47,97,34,2.82
189,Dashitou,CN,2022-09-03 18:16:29,43.3067,128.5114,52.52,96,70,4.61
190,Sulphur,US,2022-09-03 18:16:30,30.2366,-93.3774,86.2,84,100,10.36
191,Navalmoral De La Mata,ES,2022-09-03 18:16:30,39.8916,-5.5406,80.96,24,0,9.66
192,Sinnamary,GF,2022-09-03 18:16:31,5.3833,-52.95,85.51,67,87,14.29
193,Vila Velha,BR,2022-09-03 18:16:31,-20.3297,-40.2925,80.55,70,0,20.71
194,Faanui,PF,2022-09-03 18:16:31,-16.4833,-151.75,77.49,76,24,16.87
195,Norman Wells,CA,2022-09-03 18:16:32,65.282,-126.8329,66.24,48,20,12.66
196,Tuatapere,NZ,2022-09-03 18:16:32,-46.1333,167.6833,43.75,83,91,19.42
197,Merauke,ID,2022-09-03 18:16:32,-8.4667,140.3333,77.85,89,9,9.6
198,Shenkursk,RU,2022-09-03 18:16:33,62.1091,42.896,44.1,95,100,9.48
199,Lakes Entrance,AU,2022-09-03 18:16:33,-37.8811,147.981,46.17,90,17,3.83
200,Padang,ID,2022-09-03 18:16:33,-0.9492,100.3543,75.27,84,64,3.71
201,Cherskiy,RU,2022-09-03 18:16:34,68.75,161.3,34.3,95,99,8.52
202,Vikulovo,RU,2022-09-03 18:16:34,56.8167,70.6107,52.9,92,99,8.5
203,San Nicolas,PH,2022-09-03 18:11:53,18.1725,120.5953,78.71,89,100,19.37
204,Portland,US,2022-09-03 18:12:42,45.5234,-122.6762,70.9,75,100,5.99
205,Kattivakkam,IN,2022-09-03 18:16:35,13.2167,80.3167,86.09,76,83,10.18
206,Bairnsdale,AU,2022-09-03 18:16:35,-37.8333,147.6167,46.06,95,40,2.55
207,Zabol,AF,2022-09-03 18:16:35,32.25,67.25,72.34,16,0,19.44
208,Mount Gambier,AU,2022-09-03 18:16:36,-37.8333,140.7667,45.03,87,68,4.79
209,Khatanga,RU,2022-09-03 18:16:36,71.9667,102.5,33.22,78,41,5.55
210,Severo-Kurilsk,RU,2022-09-03 18:16:37,50.6789,156.125,52.0,88,4,9.19
211,Vitry-Le-Francois,FR,2022-09-03 18:16:37,48.7333,4.5833,73.81,50,87,6.29
212,Yarmouth,US,2022-09-03 18:16:37,41.7057,-70.2286,76.96,60,0,8.05
213,Varberg,SE,2022-09-03 18:16:38,57.1056,12.2508,62.24,65,57,3.76
214,Airai,TL,2022-09-03 18:16:38,-8.9266,125.4092,57.76,91,44,2.68
215,Rio Gallegos,AR,2022-09-03 18:16:38,-51.6226,-69.2181,53.65,50,75,31.07
216,Bucerias,MX,2022-09-03 18:14:15,20.75,-105.3333,88.99,66,20,11.5
217,Hokitika,NZ,2022-09-03 18:16:39,-42.7167,170.9667,47.61,78,96,16.37
218,Ostrovnoy,RU,2022-09-03 18:16:39,68.0531,39.5131,45.64,81,100,28.63
219,Ust-Kut,RU,2022-09-03 18:16:40,56.7938,105.7672,40.89,95,100,4.09
220,Mahebourg,MU,2022-09-03 18:16:40,-20.4081,57.7,71.89,78,75,9.22
221,Euclides Da Cunha,BR,2022-09-03 18:16:41,-10.5075,-39.0158,76.53,61,85,11.14
222,Ambilobe,MG,2022-09-03 18:16:41,-13.2,49.05,67.73,75,79,4.21
223,Shirokovskiy,RU,2022-09-03 18:16:41,58.8424,57.7832,43.16,95,100,9.75
224,Kaseda,JP,2022-09-03 18:16:42,31.4167,130.3167,79.29,82,99,10.69
225,Leh,IN,2022-09-03 18:16:42,34.1667,77.5833,62.19,38,86,2.73
226,Poum,NC,2022-09-03 18:16:42,-20.2333,164.0167,75.56,76,13,21.59
227,Taoudenni,ML,2022-09-03 18:16:43,22.6783,-3.9836,108.81,13,42,13.78
228,Dossor,KZ,2022-09-03 18:16:43,47.5272,52.9811,79.23,22,98,16.93
229,Sabang,ID,2022-09-03 18:16:44,5.8933,95.3214,81.23,76,100,25.19
230,Rantepao,ID,2022-09-03 18:16:44,-2.9701,119.8978,67.06,97,95,1.63
231,Hofn,IS,2022-09-03 18:16:44,64.2539,-15.2082,50.25,77,77,8.93
232,Vestmannaeyjar,IS,2022-09-03 18:17:45,63.4427,-20.2734,51.53,81,99,0.69
233,Barentu,ER,2022-09-03 18:17:45,15.1139,37.5928,74.05,79,50,3.74
234,Kazachinskoye,RU,2022-09-03 18:17:46,57.6953,93.2761,41.38,90,100,2.71
235,Upernavik,GL,2022-09-03 18:17:46,72.7868,-56.1549,42.4,94,100,17.67
236,Baiyin,CN,2022-09-03 18:17:46,36.5583,104.2081,60.82,46,68,6.55
237,Ternate,ID,2022-09-03 18:17:47,0.8,127.4,80.15,79,100,3.91
238,Ahipara,NZ,2022-09-03 18:17:47,-35.1667,173.1667,57.51,95,100,7.94
239,Yabelo,ET,2022-09-03 18:17:47,4.8833,38.0833,65.91,52,100,11.41
240,Upington,ZA,2022-09-03 18:17:48,-28.4478,21.2561,66.58,34,0,4.61
241,Malanje,AO,2022-09-03 18:17:48,-9.5402,16.341,80.26,35,33,6.4
242,Canico,PT,2022-09-03 18:17:48,32.6333,-16.85,76.71,75,40,10.36
243,Esperance,AU,2022-09-03 18:17:49,-33.8667,121.9,55.36,75,100,12.55
244,Ribeira Grande,PT,2022-09-03 18:17:49,38.5167,-28.7,77.4,65,20,8.05
245,Chifeng,CN,2022-09-03 18:14:53,42.2683,118.9636,64.2,67,100,6.24
246,Adrar,MR,2022-09-03 18:17:50,20.5022,-10.0711,101.71,17,62,3.53
247,Tura,IN,2022-09-03 18:17:50,25.5198,90.2201,74.62,97,79,3.51
248,Pangnirtung,CA,2022-09-03 18:17:50,66.1451,-65.7125,41.0,100,100,11.5
249,Chuguyevka,RU,2022-09-03 18:17:51,44.1653,133.8633,52.77,87,14,3.38
250,Gatesville,US,2022-09-03 18:17:51,31.4352,-97.7439,85.75,67,40,5.41
251,Belmonte,BR,2022-09-03 18:17:12,-15.8631,-38.8828,75.72,67,34,10.56
252,Bengkulu,ID,2022-09-03 18:17:51,-3.8004,102.2655,73.58,90,82,4.03
253,Los Llanos De Aridane,ES,2022-09-03 18:17:52,28.6585,-17.9182,71.35,92,75,9.22
254,Bonthe,SL,2022-09-03 18:17:52,7.5264,-12.505,80.46,71,40,9.01
255,Xining,CN,2022-09-03 18:17:53,36.6167,101.7667,46.17,90,99,5.08
256,Coihaique,CL,2022-09-03 18:13:56,-45.5752,-72.0662,56.01,62,100,6.91
257,Komsomolskiy,UZ,2022-09-03 18:17:53,40.4272,71.7189,72.32,43,0,4.61
258,De-Kastri,RU,2022-09-03 18:17:53,51.4667,140.7833,57.6,96,19,2.24
259,Hamilton,US,2022-09-03 18:17:54,39.1834,-84.5333,77.45,93,100,8.05
260,Sovetskiy,RU,2022-09-03 18:17:54,61.3614,63.5842,44.4,78,19,11.34
261,Katobu,ID,2022-09-03 18:17:55,-4.9408,122.5276,73.89,97,93,4.14
262,Anloga,GH,2022-09-03 18:17:55,5.7947,0.8973,77.38,85,82,11.92
263,Prince Rupert,CA,2022-09-03 18:17:55,54.3161,-130.3201,59.09,96,100,33.38
264,Acapulco,MX,2022-09-03 18:17:56,16.8634,-99.8901,85.82,74,100,9.22
265,Yulara,AU,2022-09-03 18:17:56,-25.2406,130.9889,53.38,41,100,15.21
266,Bytca,SK,2022-09-03 18:17:56,49.224,18.5588,65.05,62,0,1.14
267,Bermeo,ES,2022-09-03 18:17:57,43.4209,-2.7215,75.24,72,37,6.13
268,Zhigansk,RU,2022-09-03 18:17:57,66.7697,123.3711,38.34,77,100,15.82
269,Leningradskiy,RU,2022-09-03 18:17:57,69.3833,178.4167,31.53,88,96,20.09
270,Bontang,ID,2022-09-03 18:17:58,0.1333,117.5,79.16,84,94,3.33
271,Saint-Philippe,RE,2022-09-03 18:17:58,-21.3585,55.7679,66.22,76,38,11.48
272,Baillif,GP,2022-09-03 18:17:58,16.0202,-61.7463,80.1,73,77,14.88
273,Khor,RU,2022-09-03 18:17:59,47.8861,134.9464,56.28,86,9,4.68
274,Kugulta,RU,2022-09-03 18:17:59,45.3636,42.3889,81.18,38,0,16.58
275,Cabinda,AO,2022-09-03 18:18:00,-5.55,12.2,73.72,82,45,6.96
276,Constitucion,CL,2022-09-03 18:18:00,-35.3333,-72.4167,61.88,54,0,13.24
277,Nanortalik,GL,2022-09-03 18:18:00,60.1432,-45.2371,44.73,78,100,13.71
278,Ponta Delgada,PT,2022-09-03 18:18:01,37.7333,-25.6667,75.92,64,20,6.91
279,Torbay,CA,2022-09-03 18:18:01,47.6666,-52.7314,73.76,84,20,12.66
280,Bahia Blanca,AR,2022-09-03 18:19:01,-38.7196,-62.2724,70.32,17,0,17.87
281,Altamont,US,2022-09-03 18:19:02,42.2068,-121.7372,76.77,35,0,1.01
282,Belyy Yar,RU,2022-09-03 18:19:02,53.6039,91.3903,42.85,68,0,4.47
283,Lakatoro,VU,2022-09-03 18:19:03,-16.0999,167.4164,78.03,84,67,14.03
284,Tazovskiy,RU,2022-09-03 18:19:04,67.4667,78.7,43.34,91,100,21.63
285,Hay River,CA,2022-09-03 18:19:04,60.8156,-115.7999,73.38,43,75,3.44
286,Narsaq,GL,2022-09-03 18:19:04,60.9167,-46.05,52.02,96,100,3.22
287,Pedra Azul,BR,2022-09-03 18:19:05,-16.0053,-41.2972,82.9,28,21,5.21
288,Zhangjiakou,CN,2022-09-03 18:19:05,40.81,114.8794,58.03,92,67,2.48
289,Cabo San Lucas,MX,2022-09-03 18:15:02,22.8909,-109.9124,87.1,83,75,5.75
290,Sorland,NO,2022-09-03 18:19:06,67.667,12.6934,51.66,65,0,7.14
291,Kletnya,RU,2022-09-03 18:19:06,53.3897,33.2171,51.46,56,91,0.81
292,Fortuna,US,2022-09-03 18:19:06,40.5982,-124.1573,71.92,79,20,11.5
293,Clyde River,CA,2022-09-03 18:19:07,70.4692,-68.5914,44.83,87,100,8.05
294,Key Largo,US,2022-09-03 18:15:46,25.0865,-80.4473,90.0,67,14,14.0
